Time,Value,exported_instance,exported_job,http_method,http_route,http_status_code,instance,job,service_name,span_kind,span_name,status_code
2024-08-22 07:44:00,0.0,4e7184d9-e546-45dc-bed1-15904d41e452,express,GET,/,200,otel-collector:8889,aggregated-trace-metrics,express,SPAN_KIND_SERVER,GET /,STATUS_CODE_UNSET
2024-08-22 07:44:15,0.0,4e7184d9-e546-45dc-bed1-15904d41e452,express,GET,/,200,otel-collector:8889,aggregated-trace-metrics,express,SPAN_KIND_SERVER,GET /,STATUS_CODE_UNSET
2024-08-22 07:44:30,0.0,4e7184d9-e546-45dc-bed1-15904d41e452,express,GET,/,200,otel-collector:8889,aggregated-trace-metrics,express,SPAN_KIND_SERVER,GET /,STATUS_CODE_UNSET
2024-08-22 07:44:45,0.0,4e7184d9-e546-45dc-bed1-15904d41e452,express,GET,/,200,otel-collector:8889,aggregated-trace-metrics,express,SPAN_KIND_SERVER,GET /,STATUS_CODE_UNSET
2024-08-22 07:45:00,0.0,4e7184d9-e546-45dc-bed1-15904d41e452,express,GET,/,200,otel-collector:8889,aggregated-trace-metrics,express,SPAN_KIND_SERVER,GET /,STATUS_CODE_UNSET
2024-08-22 07:45:15,0.0,4e7184d9-e546-45dc-bed1-15904d41e452,express,GET,/,200,otel-collector:8889,aggregated-trace-metrics,express,SPAN_KIND_SERVER,GET /,STATUS_CODE_UNSET
2024-08-22 07:45:30,0.0,4e7184d9-e546-45dc-bed1-15904d41e452,express,GET,/,200,otel-collector:8889,aggregated-trace-metrics,express,SPAN_KIND_SERVER,GET /,STATUS_CODE_UNSET
2024-08-22 07:45:45,0.0,4e7184d9-e546-45dc-bed1-15904d41e452,express,GET,/,200,otel-collector:8889,aggregated-trace-metrics,express,SPAN_KIND_SERVER,GET /,STATUS_CODE_UNSET
2024-08-22 07:46:00,0.0,4e7184d9-e546-45dc-bed1-15904d41e452,express,GET,/,200,otel-collector:8889,aggregated-trace-metrics,express,SPAN_KIND_SERVER,GET /,STATUS_CODE_UNSET
2024-08-22 07:46:15,0.0,4e7184d9-e546-45dc-bed1-15904d41e452,express,GET,/,200,otel-collector:8889,aggregated-trace-metrics,express,SPAN_KIND_SERVER,GET /,STATUS_CODE_UNSET
2024-08-22 07:46:30,0.0,4e7184d9-e546-45dc-bed1-15904d41e452,express,GET,/,200,otel-collector:8889,aggregated-trace-metrics,express,SPAN_KIND_SERVER,GET /,STATUS_CODE_UNSET
2024-08-22 07:46:45,0.0,4e7184d9-e546-45dc-bed1-15904d41e452,express,GET,/,200,otel-collector:8889,aggregated-trace-metrics,express,SPAN_KIND_SERVER,GET /,STATUS_CODE_UNSET
